year,age,open_interval,female,male,total
2014,0,FALSE,205612,217832,423444
2014,1,FALSE,218704,232780,451484
2014,2,FALSE,228326,242703,471029
2014,3,FALSE,232229,247184,479413
2014,4,FALSE,236789,253488,490277
2014,5,FALSE,249906,266737,516643
2014,6,FALSE,241156,256650,497806
2014,7,FALSE,239539,254864,494403
2014,8,FALSE,235596,248870,484466
2014,9,FALSE,232407,247230,479637
2014,10,FALSE,229770,241606,471376
2014,11,FALSE,220106,232857,452963
2014,12,FALSE,219198,230714,449912
2014,13,FALSE,217552,232210,449762
2014,14,FALSE,213832,225409,439241
2014,15,FALSE,205942,220124,426066
2014,16,FALSE,208602,220583,429185
2014,17,FALSE,206845,218459,425304
2014,18,FALSE,206233,219643,425876
2014,19,FALSE,210027,222900,432927
2014,20,FALSE,220262,232078,452340
2014,21,FALSE,230216,240185,470401
2014,22,FALSE,231614,240942,472556
2014,23,FALSE,238633,245022,483655
2014,24,FALSE,247080,251633,498713
2014,25,FALSE,255598,258227,513825
2014,26,FALSE,263178,264867,528045
2014,27,FALSE,273630,273579,547209
2014,28,FALSE,284608,286214,570822
2014,29,FALSE,298137,299908,598045
2014,30,FALSE,309464,312447,621911
2014,31,FALSE,328559,333828,662387
2014,32,FALSE,343007,351705,694712
2014,33,FALSE,360572,371340,731912
2014,34,FALSE,371973,383458,755431
2014,35,FALSE,387513,404372,791885
2014,36,FALSE,391962,412422,804384
2014,37,FALSE,400026,419090,819116
2014,38,FALSE,396540,417588,814128
2014,39,FALSE,394750,413704,808454
2014,40,FALSE,384765,403643,788408
2014,41,FALSE,383284,401684,784968
2014,42,FALSE,377539,393551,771090
2014,43,FALSE,372997,388258,761255
2014,44,FALSE,371049,382547,753596
2014,45,FALSE,368538,378782,747320
2014,46,FALSE,371682,379206,750888
2014,47,FALSE,362161,368882,731043
2014,48,FALSE,360806,364217,725023
2014,49,FALSE,366069,368031,734100
2014,50,FALSE,348184,349725,697909
2014,51,FALSE,337725,336524,674249
2014,52,FALSE,330629,327141,657770
2014,53,FALSE,332067,327786,659853
2014,54,FALSE,323035,317924,640959
2014,55,FALSE,316189,309747,625936
2014,56,FALSE,308732,300352,609084
2014,57,FALSE,288179,279333,567512
2014,58,FALSE,279466,269824,549290
2014,59,FALSE,267489,255299,522788
2014,60,FALSE,266766,255467,522233
2014,61,FALSE,264891,254053,518944
2014,62,FALSE,249094,235603,484697
2014,63,FALSE,243714,229120,472834
2014,64,FALSE,254659,235515,490174
2014,65,FALSE,266190,245806,511996
2014,66,FALSE,243610,223228,466838
2014,67,FALSE,233714,210884,444598
2014,68,FALSE,243736,218444,462180
2014,69,FALSE,231717,206203,437920
2014,70,FALSE,227567,200590,428157
2014,71,FALSE,195609,171307,366916
2014,72,FALSE,179757,155633,335390
2014,73,FALSE,220820,186787,407607
2014,74,FALSE,148206,120152,268358
2014,75,FALSE,166734,133946,300680
2014,76,FALSE,185338,146006,331344
2014,77,FALSE,202156,153091,355247
2014,78,FALSE,192430,144572,337002
2014,79,FALSE,187900,137222,325122
2014,80,FALSE,188410,133498,321908
2014,81,FALSE,181299,124806,306105
2014,82,FALSE,166086.48,110599.93,276686.41
2014,83,FALSE,158950.5,99693.05,258643.55
2014,84,FALSE,145020.11,88279.22,233299.33
2014,85,FALSE,134626.51,77058.83,211685.34
2014,86,FALSE,118911.37,65635.55,184546.92
2014,87,FALSE,107672.63,55888.58,163561.21
2014,88,FALSE,93541.64,46981.93,140523.57
2014,89,FALSE,81552.73,37709.79,119262.52
2014,90,FALSE,70027.14,31347.79,101374.93
2014,91,FALSE,58152.55,24247.92,82400.47
2014,92,FALSE,45284.77,18210.18,63494.95
2014,93,FALSE,35323.27,12633.07,47956.34
2014,94,FALSE,24873.16,8195.3,33068.46
2014,95,FALSE,19010.63,5673.15,24683.78
2014,96,FALSE,13729.87,3902.8,17632.67
2014,97,FALSE,10057.96,2828.71,12886.67
2014,98,FALSE,7095.36,1790.43,8885.79
2014,99,FALSE,5070.26,1155.67,6225.93
2014,100,FALSE,3321.94,731.96,4053.9
2014,101,FALSE,2119.95,452.7,2572.65
2014,102,FALSE,1261.56,257.17,1518.73
2014,103,FALSE,745.73,146.05,891.78
2014,104,FALSE,406.76,70.18,476.94
2014,105,FALSE,203.16,36.32,239.48
2014,106,FALSE,113.84,15.46,129.3
2014,107,FALSE,49.35,5.75,55.1
2014,108,FALSE,28.27,2.27,30.54
2014,109,FALSE,11.77,2.16,13.93
2014,110,TRUE,8.66,0,8.66
2015,0,FALSE,205537,219373,424910
2015,1,FALSE,206301,218499,424800
2015,2,FALSE,218590,232496,451086
2015,3,FALSE,227786,242272,470058
2015,4,FALSE,231996,246805,478801
2015,5,FALSE,236381,252871,489252
2015,6,FALSE,249031,265879,514910
2015,7,FALSE,240603,255863,496466
2015,8,FALSE,239117,254152,493269
2015,9,FALSE,235230,248254,483484
2015,10,FALSE,232221,246621,478842
2015,11,FALSE,229273,241100,470373
2015,12,FALSE,219923,232620,452543
2015,13,FALSE,219101,230592,449693
2015,14,FALSE,217527,232187,449714
2015,15,FALSE,213766,225374,439140
2015,16,FALSE,205910,220158,426068
2015,17,FALSE,208696,221031,429727
2015,18,FALSE,207630,219201,426831
2015,19,FALSE,207558,220607,428165
2015,20,FALSE,211908,223908,435816
2015,21,FALSE,222030,232928,454958
2015,22,FALSE,231976,240612,472588
2015,23,FALSE,233189,241244,474433
2015,24,FALSE,239626,245234,484860
2015,25,FALSE,247653,251446,499099
2015,26,FALSE,255815,257842,513657
2015,27,FALSE,262771,263808,526579
2015,28,FALSE,272972,272334,545306
2015,29,FALSE,283354,284178,567532
2015,30,FALSE,296616,297618,594234
2015,31,FALSE,307625,310167,617792
2015,32,FALSE,326455,331099,657554
2015,33,FALSE,340966,348566,689532
2015,34,FALSE,358590,368204,726794
2015,35,FALSE,369864,380441,750305
2015,36,FALSE,385630,400902,786532
2015,37,FALSE,390030,408949,798979
2015,38,FALSE,398478,415538,814016
2015,39,FALSE,394938,414219,809157
2015,40,FALSE,393214,410484,803698
2015,41,FALSE,383281,400373,783654
2015,42,FALSE,381947,398535,780482
2015,43,FALSE,376322,390696,767018
2015,44,FALSE,371695,385359,757054
2015,45,FALSE,369697,379744,749441
2015,46,FALSE,367292,376113,743405
2015,47,FALSE,370573,376511,747084
2015,48,FALSE,361103,366328,727431
2015,49,FALSE,359860,361590,721450
2015,50,FALSE,364982,365295,730277
2015,51,FALSE,347048,347159,694207
2015,52,FALSE,336613,334049,670662
2015,53,FALSE,329469,324655,654124
2015,54,FALSE,330875,325206,656081
2015,55,FALSE,321849,315332,637181
2015,56,FALSE,314982,307062,622044
2015,57,FALSE,307501,297669,605170
2015,58,FALSE,287052,276891,563943
2015,59,FALSE,278296,267334,545630
2015,60,FALSE,266352,252826,519178
2015,61,FALSE,265712,253066,518778
2015,62,FALSE,263629,251505,515134
2015,63,FALSE,248042,233044,481086
2015,64,FALSE,242567,226474,469041
2015,65,FALSE,253399,232636,486035
2015,66,FALSE,264730,242581,507311
2015,67,FALSE,242078,219981,462059
2015,68,FALSE,232068,207544,439612
2015,69,FALSE,241868,214759,456627
2015,70,FALSE,229634,202360,431994
2015,71,FALSE,225366,196370,421736
2015,72,FALSE,193529,167369,360898
2015,73,FALSE,177742,151773,329515
2015,74,FALSE,217951,181629,399580
2015,75,FALSE,145970,116343,262313
2015,76,FALSE,163804,129315,293119
2015,77,FALSE,181923,140501,322424
2015,78,FALSE,197825,146764,344589
2015,79,FALSE,187771,137941,325712
2015,80,FALSE,182687,130402,313089
2015,81,FALSE,182321,126044,308365
2015,82,FALSE,174537,117203,291740
2015,83,FALSE,158968.48,103096.93,262065.41
2015,84,FALSE,150840.5,91840.05,242680.55
2015,85,FALSE,136678.11,80647.22,217325.33
2015,86,FALSE,125492.51,69399.83,194892.34
2015,87,FALSE,109762.37,58598.55,168360.92
2015,88,FALSE,98046.63,48871.58,146918.21
2015,89,FALSE,84082.64,40681.93,124764.57
2015,90,FALSE,71888.73,31937.79,103826.52
2015,91,FALSE,60776.14,26089.79,86865.93
2015,92,FALSE,49580.55,19689.92,69270.47
2015,93,FALSE,37889.77,14345.18,52234.95
2015,94,FALSE,28836.27,9792.07,38628.34
2015,95,FALSE,19919.16,6218.3,26137.46
2015,96,FALSE,14694.63,4173.15,18867.78
2015,97,FALSE,10484.87,2802.8,13287.67
2015,98,FALSE,7433.96,1970.71,9404.67
2015,99,FALSE,5101.36,1218.43,6319.79
2015,100,FALSE,3526.26,752.67,4278.93
2015,101,FALSE,2329.94,469.96,2799.9
2015,102,FALSE,1426.95,286.7,1713.65
2015,103,FALSE,796.56,149.17,945.73
2015,104,FALSE,479.73,84.05,563.78
2015,105,FALSE,255.76,37.18,292.94
2015,106,FALSE,124.16,18.32,142.48
2015,107,FALSE,58.84,7.46,66.3
2015,108,FALSE,29.35,1.75,31.1
2015,109,FALSE,13.27,1.27,14.54
2015,110,TRUE,5.43,1.16,6.59
